,n_orin,o_orin,sales_n,sales_o,week,pct_change
95,120549364,120482948,0.26280587318565246,77.5277325897679,6,-99.66101694915254
96,120610989,120548062,0.26280587318565246,1.3140293659282587,1,-79.99999999999994
97,120610989,120548062,0.0,1.8396411122995637,2,-100.0
98,120610989,120548062,0.26280587318565246,1.576835239113911,3,-83.33333333333329
99,120610989,120548062,0.0,1.8396411122995637,4,-100.0
100,120610989,120548062,0.0,0.0,5,100.0
101,120610989,120548062,0.0,0.0,6,100.0
102,120610997,120548062,1.576835239113911,1.3140293659282587,1,20.00000000000005
103,120610997,120548062,2.365252858670883,1.8396411122995637,2,28.571428571429415
104,120610997,120548062,3.679282224599142,1.576835239113911,3,133.33333333333434
105,120610997,120548062,4.204893970970458,1.8396411122995637,4,128.57142857143003
106,120610997,120548062,3.153670478227837,0.0,5,100.0
107,120610997,120548062,1.0512234927426098,0.0,6,100.0
108,120611009,120548062,3.4164763514134893,1.3140293659282587,1,160.00000000000128
109,120611009,120548062,1.8396411122995637,1.8396411122995637,2,0.0
110,120611009,120548062,5.256117463713066,1.576835239113911,3,233.33333333333516
111,120611009,120548062,6.570146829641339,1.8396411122995637,4,257.14285714285927
112,120611009,120548062,3.679282224599142,0.0,5,100.0
113,120611009,120548062,1.0512234927426098,0.0,6,100.0
114,120097062,120508491,0.0,0.5256117463713049,1,-100.0
115,120097062,120508491,0.0,0.26280587318565246,2,-100.0
116,120097062,120508491,0.0,0.0,3,100.0
117,120097062,120508491,0.0,0.0,4,100.0
118,120097062,120508491,0.0,0.26280587318565246,5,-100.0
119,120097062,120508491,2.365252858670883,0.0,6,100.0
120,120545970,120508491,1.8396411122995637,0.5256117463713049,1,249.99999999999935
121,120545970,120508491,2.102446985485231,0.26280587318565246,2,700.0000000000043
122,120545970,120508491,3.4164763514134893,0.0,3,100.0
123,120545970,120508491,2.628058731856532,0.0,4,100.0
124,120545970,120508491,3.4164763514134893,0.26280587318565246,5,1200.0000000000027
125,120545970,120508491,3.9420880977848047,0.0,6,100.0
126,120545988,120508491,0.0,0.5256117463713049,1,-100.0
127,120545988,120508491,0.0,0.26280587318565246,2,-100.0
128,120545988,120508491,0.0,0.0,3,100.0
129,120545988,120508491,0.0,0.0,4,100.0
130,120545988,120508491,0.0,0.26280587318565246,5,-100.0
131,120545988,120508491,0.0,0.0,6,100.0
132,120545996,120508491,6.832952702826991,0.5256117463713049,1,1200.0000000000052
133,120545996,120508491,7.884176195569612,0.26280587318565246,2,2900.0000000000146
134,120545996,120508491,7.884176195569612,0.0,3,100.0
135,120545996,120508491,8.146982068755264,0.0,4,100.0
136,120545996,120508491,8.409787941940916,0.26280587318565246,5,3100.000000000014
137,120545996,120508491,7.884176195569612,0.0,6,100.0
138,120548935,120522330,0.0,99.60342593736283,1,-100.0
139,120548935,120522330,0.0,0.0,2,100.0
140,120548935,120522330,0.0,0.0,3,100.0
141,120548935,120522330,21.287275728037955,148.7481242230801,4,-85.68904593639577
142,120548935,120522330,19.44763461573839,150.85057120856536,5,-87.10801393728222
143,120548935,120522330,0.0,0.0,6,100.0
144,120548978,120522330,0.0,99.60342593736283,1,-100.0
145,120548978,120522330,0.0,0.0,2,100.0
146,120548978,120522330,0.0,0.0,3,100.0
147,120548978,120522330,22.86411096715188,148.7481242230801,4,-84.62897526501769
148,120548978,120522330,20.76166398166665,150.85057120856536,5,-86.23693379790942
149,120548978,120522330,0.0,0.0,6,100.0
150,120594018,120490690,3.4164763514134893,0.0,1,100.0
151,120594018,120490690,0.0,0.0,2,100.0
152,120594018,120490690,0.0,0.0,3,100.0
153,120594018,120490690,0.0,0.0,4,100.0
154,120594018,120490690,0.0,0.0,5,100.0
155,120594018,120490690,0.0,0.0,6,100.0
156,120612651,120532597,0.0,2.102446985485231,1,-100.0
157,120612651,120532597,5.256117463713066,8.146982068755264,2,-35.48387096774203
158,120612651,120532597,4.730505717341763,7.095758576012644,3,-33.33333333333333
159,120612651,120532597,0.0,5.781729210084383,4,-100.0
160,120612651,120532597,0.0,4.46769984415611,5,-100.0
161,120612651,120532597,0.0,5.256117463713066,6,-100.0
162,120612669,120532597,0.0,2.102446985485231,1,-100.0
163,120612669,120532597,0.0,8.146982068755264,2,-100.0
164,120612669,120532597,0.0,7.095758576012644,3,-100.0
165,120612669,120532597,0.0,5.781729210084383,4,-100.0
166,120612669,120532597,0.0,4.46769984415611,5,-100.0
167,120612669,120532597,0.0,5.256117463713066,6,-100.0
168,120537339,120516811,16.29396413751054,18.922022869367073,1,-13.888888888888868
169,120537339,120516811,0.0,0.0,2,100.0
170,120537339,120516811,0.0,0.0,3,100.0
171,120537339,120516811,0.0,0.0,4,100.0
172,120537339,120516811,0.0,0.0,5,100.0
173,120537339,120516811,0.0,0.0,6,100.0
174,120548599,120516811,3.679282224599142,18.922022869367073,1,-80.55555555555561
175,120548599,120516811,0.0,0.0,2,100.0
176,120548599,120516811,0.0,0.0,3,100.0
177,120548599,120516811,0.0,0.0,4,100.0
178,120548599,120516811,0.0,0.0,5,100.0
179,120548599,120516811,0.0,0.0,6,100.0
180,120580564,120516811,0.0,18.922022869367073,1,-100.0
181,120580564,120516811,0.0,0.0,2,100.0
182,120580564,120516811,0.0,0.0,3,100.0
183,120580564,120516811,0.0,0.0,4,100.0
184,120580564,120516811,0.0,0.0,5,100.0
185,120580564,120516811,0.0,0.0,6,100.0
186,120483174,120491959,0.0,0.0,1,100.0
187,120483174,120491959,0.0,0.0,2,100.0
188,120483174,120491959,0.0,0.0,3,100.0
189,120483174,120491959,0.0,0.0,4,100.0
190,120483174,120491959,17.34518763025315,22.338499220780562,5,-22.35294117647055
191,120483174,120491959,18.922022869367073,20.498858108481,6,-7.692307692307707
192,120491633,120491959,0.0,0.0,1,100.0
193,120491633,120491959,0.26280587318565246,0.0,2,100.0
194,120491633,120491959,0.26280587318565246,0.0,3,100.0
195,120491633,120491959,0.5256117463713049,0.0,4,100.0
196,120491633,120491959,0.5256117463713049,22.338499220780562,5,-97.64705882352943
197,120491633,120491959,0.5256117463713049,20.498858108481,6,-97.43589743589746
198,120491692,120491959,0.26280587318565246,0.0,1,100.0
199,120491692,120491959,0.26280587318565246,0.0,2,100.0
200,120491692,120491959,0.26280587318565246,0.0,3,100.0
201,120491692,120491959,0.5256117463713049,0.0,4,100.0
202,120491692,120491959,0.0,22.338499220780562,5,-100.0
203,120491692,120491959,0.0,20.498858108481,6,-100.0
204,120491799,120491959,0.26280587318565246,0.0,1,100.0
205,120491799,120491959,0.0,0.0,2,100.0
206,120491799,120491959,0.0,0.0,3,100.0
207,120491799,120491959,0.0,0.0,4,100.0
208,120491799,120491959,0.0,22.338499220780562,5,-100.0
209,120491799,120491959,0.0,20.498858108481,6,-100.0
210,120494480,120491959,0.0,0.0,1,100.0
211,120494480,120491959,0.0,0.0,2,100.0
212,120494480,120491959,0.0,0.0,3,100.0
213,120494480,120491959,0.0,0.0,4,100.0
214,120494480,120491959,19.44763461573839,22.338499220780562,5,-12.94117647058815
215,120494480,120491959,15.24274064476792,20.498858108481,6,-25.64102564102565
216,120528441,120491959,1.0512234927426098,0.0,1,100.0
217,120528441,120491959,1.8396411122995637,0.0,2,100.0
218,120528441,120491959,2.890864605042185,0.0,3,100.0
219,120528441,120491959,2.628058731856532,0.0,4,100.0
220,120528441,120491959,0.0,22.338499220780562,5,-100.0
221,120528441,120491959,0.0,20.498858108481,6,-100.0
222,120528791,120491959,0.0,0.0,1,100.0
223,120528791,120491959,0.26280587318565246,0.0,2,100.0
224,120528791,120491959,0.0,0.0,3,100.0
225,120528791,120491959,0.5256117463713049,0.0,4,100.0
226,120528791,120491959,1.0512234927426098,22.338499220780562,5,-95.29411764705884
227,120528791,120491959,2.628058731856532,20.498858108481,6,-87.17948717948721
228,120529005,120491959,0.0,0.0,1,100.0
229,120529005,120491959,0.0,0.0,2,100.0
230,120529005,120491959,0.0,0.0,3,100.0
231,120529005,120491959,0.0,0.0,4,100.0
232,120529005,120491959,0.0,22.338499220780562,5,-100.0
233,120529005,120491959,0.0,20.498858108481,6,-100.0
234,120529013,120491959,0.0,0.0,1,100.0
235,120529013,120491959,0.0,0.0,2,100.0
236,120529013,120491959,0.0,0.0,3,100.0
237,120529013,120491959,0.0,0.0,4,100.0
238,120529013,120491959,0.0,22.338499220780562,5,-100.0
239,120529013,120491959,0.0,20.498858108481,6,-100.0
240,120529021,120491959,0.0,0.0,1,100.0
241,120529021,120491959,0.0,0.0,2,100.0
242,120529021,120491959,0.0,0.0,3,100.0
243,120529021,120491959,0.0,0.0,4,100.0
244,120529021,120491959,0.0,22.338499220780562,5,-100.0
245,120529021,120491959,0.0,20.498858108481,6,-100.0
246,120529136,120491959,2.365252858670883,0.0,1,100.0
247,120529136,120491959,3.9420880977848047,0.0,2,100.0
248,120529136,120491959,5.518923336898731,0.0,3,100.0
249,120529136,120491959,5.256117463713066,0.0,4,100.0
250,120529136,120491959,0.0,22.338499220780562,5,-100.0
251,120529136,120491959,0.0,20.498858108481,6,-100.0
252,120529152,120491959,0.0,0.0,1,100.0
253,120529152,120491959,0.0,0.0,2,100.0
254,120529152,120491959,0.0,0.0,3,100.0
255,120529152,120491959,0.0,0.0,4,100.0
256,120529152,120491959,0.0,22.338499220780562,5,-100.0
257,120529152,120491959,0.0,20.498858108481,6,-100.0
258,120529179,120491959,2.628058731856532,0.0,1,100.0
259,120529179,120491959,4.204893970970458,0.0,2,100.0
260,120529179,120491959,6.570146829641339,0.0,3,100.0
261,120529179,120491959,5.781729210084383,0.0,4,100.0
262,120529179,120491959,0.0,22.338499220780562,5,-100.0
263,120529179,120491959,0.0,20.498858108481,6,-100.0
264,120529187,120491959,0.7884176195569574,0.0,1,100.0
265,120529187,120491959,0.7884176195569574,0.0,2,100.0
266,120529187,120491959,2.365252858670883,0.0,3,100.0
267,120529187,120491959,4.46769984415611,0.0,4,100.0
268,120529187,120491959,0.0,22.338499220780562,5,-100.0
269,120529187,120491959,0.0,20.498858108481,6,-100.0
270,120529216,120491959,0.0,0.0,1,100.0
271,120529216,120491959,0.0,0.0,2,100.0
272,120529216,120491959,0.0,0.0,3,100.0
273,120529216,120491959,0.0,0.0,4,100.0
274,120529216,120491959,0.0,22.338499220780562,5,-100.0
275,120529216,120491959,0.0,20.498858108481,6,-100.0
276,120530743,120491959,0.0,0.0,1,100.0
277,120530743,120491959,0.0,0.0,2,100.0
278,120530743,120491959,0.0,0.0,3,100.0
279,120530743,120491959,0.0,0.0,4,100.0
280,120530743,120491959,0.0,22.338499220780562,5,-100.0
281,120530743,120491959,0.0,20.498858108481,6,-100.0
282,120530751,120491959,0.0,0.0,1,100.0
283,120530751,120491959,0.0,0.0,2,100.0
284,120530751,120491959,0.0,0.0,3,100.0
285,120530751,120491959,0.0,0.0,4,100.0
286,120530751,120491959,0.0,22.338499220780562,5,-100.0
287,120530751,120491959,0.0,20.498858108481,6,-100.0
288,120530823,120491959,0.0,0.0,1,100.0
289,120530823,120491959,0.0,0.0,2,100.0
290,120530823,120491959,0.0,0.0,3,100.0
291,120530823,120491959,0.0,0.0,4,100.0
292,120530823,120491959,0.0,22.338499220780562,5,-100.0
293,120530823,120491959,0.0,20.498858108481,6,-100.0
294,120531068,120491959,1.3140293659282587,0.0,1,100.0
295,120531068,120491959,2.365252858670883,0.0,2,100.0
296,120531068,120491959,2.890864605042185,0.0,3,100.0
297,120531068,120491959,3.4164763514134893,0.0,4,100.0
298,120531068,120491959,0.0,22.338499220780562,5,-100.0
299,120531068,120491959,0.0,20.498858108481,6,-100.0
300,120531076,120491959,1.8396411122995637,0.0,1,100.0
301,120531076,120491959,2.365252858670883,0.0,2,100.0
302,120531076,120491959,5.256117463713066,0.0,3,100.0
303,120531076,120491959,6.307340956455688,0.0,4,100.0
304,120531076,120491959,0.0,22.338499220780562,5,-100.0
305,120531076,120491959,0.0,20.498858108481,6,-100.0
306,120531084,120491959,8.146982068755264,0.0,1,100.0
307,120531084,120491959,9.98662318105484,0.0,2,100.0
308,120531084,120491959,10.775040800611798,0.0,3,100.0
309,120531084,120491959,10.775040800611798,0.0,4,100.0
310,120531084,120491959,0.0,22.338499220780562,5,-100.0
311,120531084,120491959,0.0,20.498858108481,6,-100.0
312,120531105,120491959,0.0,0.0,1,100.0
